110101001000,东华门街道
110101002000,景山街道
110101003000,交道口街道
110101004000,安定门街道
110101005000,北新桥街道
110101006000,东四街道
110101007000,朝阳门街道
110101008000,建国门街道
110101009000,东直门街道
110101010000,和平里街道
110101011000,前门街道
110101012000,崇文门外街道
110101013000,东花市街道
110101014000,龙潭街道
110101015000,体育馆路街道
110101016000,天坛街道
110101017000,永定门外街道
110102001000,西长安街街道
110102003000,新街口街道
110102007000,月坛街道
110102009000,展览路街道
110102010000,德胜街道
110102011000,金融街街道
110102012000,什刹海街道
110102013000,大栅栏街道
110102014000,天桥街道
110102015000,椿树街道
110102016000,陶然亭街道
110102017000,广安门内街道
110102018000,牛街街道
110102019000,白纸坊街道
110102020000,广安门外街道
110105001000,建外街道
110105002000,朝外街道
110105003000,呼家楼街道
110105004000,三里屯街道
110105005000,左家庄街道
110105006000,香河园街道
110105007000,和平街街道
110105008000,安贞街道
110105009000,亚运村街道
110105010000,小关街道
110105011000,酒仙桥街道
110105012000,麦子店街道
110105013000,团结湖街道
110105014000,六里屯街道
110105015000,八里庄街道
110105016000,双井街道
110105017000,劲松街道
110105018000,潘家园街道
110105019000,垡头街道
110105021000,南磨房地区
110105022000,高碑店地区
110105023000,将台地区
110105024000,太阳宫地区
110105025000,大屯街道
110105026000,望京街道
110105027000,小红门地区
110105028000,十八里店地区
110105029000,平房地区
110105030000,东风地区
110105031000,奥运村街道
110105032000,来广营地区
110105033000,常营地区
110105034000,三间房地区
110105035000,管庄地区
110105036000,金盏地区
110105037000,孙河地区
110105038000,崔各庄地区
110105039000,东坝地区
110105040000,黑庄户地区
110105041000,豆各庄地区
110105042000,王四营地区
110105043000,首都机场街道
110105501000,望京开发街道
110106001000,右安门街道
110106002000,太平桥街道
110106003000,西罗园街道
110106004000,大红门街道
110106005000,南苑街道
110106006000,东高地街道
110106007000,东铁匠营街道
110106008000,卢沟桥街道
110106009000,丰台街道
110106010000,新村街道
110106011000,长辛店街道
110106012000,云岗街道
110106013000,方庄地区
110106014000,宛平城地区
110106015000,马家堡街道
110106016000,和义街道
110106017000,卢沟桥地区
110106018000,花乡地区
110106019000,南苑地区
110106100000,长辛店镇
110106101000,王佐镇
110107001000,八宝山街道
110107002000,老山街道
110107003000,八角街道
110107004000,古城街道
110107005000,苹果园街道
110107006000,金顶街街道
110107009000,广宁街道
110107010000,五里坨街道
110107011000,鲁谷街道
110108001000,万寿路街道
110108002000,永定路街道
110108003000,羊坊店街道
110108004000,甘家口街道
